ID,title,status,Dernière modification,is_global,themes,profiles,,link
,Baisser l'impot sur le revenu de 5 milliards d'euros,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Pouvoir d'achat,Fiscalité","Agent public,Indépendant,Salarié,Agriculteur,",à inclure sur OLDOLF,
,Permettre le versement une prime exceptionnelle de 1000€ sans charge ni impôt,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Pouvoir d'achat,Fiscalité",Salariés,à inclure sur OLDOLF,
,Plafonner les frais d’incident bancaire pour les ménages les plus modestes,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Pouvoir d'achat,,Pauvreté","Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié
Agriculteur,En recherche d'emploi",à inclure sur OLDOLF,
,Défiscaliser les heures supplémentaires,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Pouvoir d'achat,Fiscalité",Salariés,à inclure sur OLDOLF,
,Supprimer définitivement la taxe d'habitation ,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Pouvoir d'achat,Territoires,Fiscalité","Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié
Agriculteur,En recherche d'emploi",à inclure sur OLDOLF,
,Assurer une retraite minimale à 1000 euros pour une carrière complète,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Retraites,Pouvoir d'achat",Retraité,à inclure sur OLDOLF,
,Porter le paquet de cigarettes à 10 euro d'ici 2020,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Santé,Transition écologique",,à inclure sur OLDOLF,
,Mettre en place un plan d'action contre l'endométriose,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Santé,Egalite Femmes-Hommes",,à inclure sur OLDOLF,
,Rembourser les préservatifs par la sécurité sociale,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,Santé ,,à inclure sur OLDOLF,
,Permettre aux pharmaciens de vacciner des patients,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,Santé ,,à inclure sur OLDOLF,
,Ne pas autoriser la fermeture d'hopitaux d'ici à 2022 sans accord du maire,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Santé,Territoires","Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié,Agriculteur,En recherche d’emploi",à inclure sur OLDOLF,
,Étendre à 11 le nombre de vaccins obligatoires,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,Santé,,à inclure sur OLDOLF,
,Autoriser les soins funéraires pour les personnes décédées du VIH,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Santé,Société","Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié,Agriculteur,En recherche d’emploi",à inclure sur OLDOLF,
,Permettre résiliation en cours d'année des contrats de mutuelle santé,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Santé,Pouvoir d'achat","Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié,Agriculteur,En recherche d’emploi",à inclure sur OLDOLF,
,Supprimer l’additif E171 dans les denrées alimentaires à partir du 1er janvier 2020,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Santé,Transition écologique",,à inclure sur OLDOLF,
,Inscrire dans le droit commun les outils ciblés sur la menace terroriste,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Sécurité,Justice",,à inclure sur OLDOLF,
,renforcer la législation pour permettre le maintien de l’ordre public lors des manifestations ,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Sécurité,Justice",,à inclure sur OLDOLF,
,Mettre en œuvre un « Plan volontariat » pour encourager l’engagement comme sapeur-pompier volontaire,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Sécurité,Vie publique et politique",,à inclure sur OLDOLF,
,Lancer un plan pour l'apprentissage de la natation,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Sport,Education",,à inclure sur OLDOLF,
,"Lancer un guide""Laïcité et gestion du fait religieux dans le sport""",DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Sport,Education",,à inclure sur OLDOLF,
,"Lancer un plan ""savoir rouler à vélo""",IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Sport,Education",,à inclure sur OLDOLF,
,Légaliser le MMA (Mixed Martial Arts),IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,sport ,,à inclure sur OLDOLF,
,Donner la possibilité aux territoires de porter à 90 km/h la limitation de vitesse,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Territoires,Sécurité",,à inclure sur OLDOLF,
,Augmenter les moyens consacrés à l'accessibilité des logements,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Territoires,Handicap,Logement",,à inclure sur OLDOLF,
,Créer dans chaque canton une lieu regroupant les principaux services publics,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Territoires,Action Publique",,à inclure sur OLDOLF,
,Consacrer le principe de différenciation territoriale dans la Constitution.,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Territoires,Vie publique et Vie politique",,à inclure sur OLDOLF,
,Reconnaitre le statut particulier de la Corse dans la Constitution,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,Territoires,,à inclure sur OLDOLF,
,Investir pour revitaliser 222 centres de villes moyennes,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,Territoires,,à inclure sur OLDOLF,
,Créer un conseil de défense de la transition écologique,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Transition écologique,Vie publique et Vie politique",,à inclure sur OLDOLF,
,Créer un chèque energie de 200€ en moyenne pour payer les factures,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Transition écologique,Pouvoir d'achat",,à inclure sur OLDOLF,
,Mettre un terme au projet de l'aéroport de Notre Dame des Landes,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,Transition écologique,,à inclure sur OLDOLF,
,Refuser tout accord commercial avec un pays en dehors de l’Accord de Paris,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Transition écologique,International",,à inclure sur OLDOLF,
,Mettre fin à la vente des véhicules thermiques d'ici 2040,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Transition écologique,Mobilité",,à inclure sur OLDOLF,
,Plus que doubler la part de l'agriculture biologique en 2022,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Transition écologique,Agriculture",,à inclure sur OLDOLF,
,Réintroduire deux ours dans les Pyrennées,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Transition écologique,Territoires",,à inclure sur OLDOLF,
,Permettre de changer sa chaudière au fioul à partir de 1€,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Transition écologique,Territoires,Pouvoir d'achat",,à inclure sur OLDOLF,
,Interdire la destruction des invendus non alimentaires,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Transition écologique,Economie sociale et solidaire",,à inclure sur OLDOLF,
,Développer la finance verte,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Transition écologique,Entreprise",,à inclure sur OLDOLF,
,Supprimer les charges sur la participation et l'intéressement dans les PME ,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Travail,Entreprise,pouvoir d'achat,Fiscalité","Salariés,indépendant",à inclure sur OLDOLF,
,Supprimer l'ENA,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Action Publique,enseignement supérieur,Vie publique et Vie politique",Etudiant,à inclure sur OLDOLF,
,Permettre aux citoyens de soumettre un sujet des instances locales,UPCOMING,"Tues, 2 Jul 2019 12:40:50 +0100",,Vie publique et politique,,à inclure sur OLDOLF,
,Créer un conseil de 150 citoyens tirés au sort,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,Vie publique et politique,,à inclure sur OLDOLF,
,Simplifier le recours aux Référendum d’Initiative Partagée,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,Vie publique et politique,,à inclure sur OLDOLF,
