"zone";"id";"type"
zone_city_69116;1690;city
zone_city_77495;1946;city
zone_city_13088;1435;city
zone_city_69117;1691;city
zone_city_77513;1947;city
zone_city_13089;1436;city
zone_city_69118;1692;city
zone_city_77514;1948;city
zone_city_13091;1437;city
zone_city_69121;1693;city
zone_city_77533;1949;city
zone_city_13092;1438;city
zone_city_69123;1694;city
zone_city_92002;1950;city
zone_city_13096;1439;city
zone_city_69127;1695;city
zone_city_92004;1951;city
zone_city_13097;1440;city
zone_city_69131;1696;city
zone_city_92007;1952;city
zone_city_13098;1441;city
zone_city_69133;1697;city
zone_city_92009;1953;city
zone_city_13100;1442;city
zone_city_69136;1698;city
zone_city_92012;1954;city
zone_city_13101;1443;city
zone_city_69141;1699;city
zone_city_92014;1955;city
zone_city_13102;1444;city
zone_city_69142;1700;city
zone_city_92019;1956;city
zone_city_13103;1445;city
zone_city_69143;1701;city
zone_city_92020;1957;city
zone_city_13104;1446;city
zone_city_69149;1702;city
zone_city_92022;1958;city
zone_city_13105;1447;city
zone_city_69152;1703;city
zone_city_92023;1959;city
zone_city_13106;1448;city
zone_city_69154;1704;city
zone_city_92024;1960;city
zone_city_13107;1449;city
zone_city_69156;1705;city
zone_city_92025;1961;city
zone_city_13108;1450;city
zone_city_69157;1706;city
zone_city_92026;1962;city
zone_city_13110;1451;city
zone_city_69159;1707;city
zone_city_92032;1963;city
zone_city_13112;1452;city
zone_city_69163;1708;city
zone_city_92033;1964;city
zone_city_13113;1453;city
zone_city_69176;1709;city
zone_city_92035;1965;city
zone_city_13114;1454;city
zone_city_69179;1710;city
zone_city_92036;1966;city
zone_city_13117;1455;city
zone_city_69191;1711;city
zone_city_92040;1967;city
zone_city_13118;1456;city
zone_city_69194;1712;city
zone_city_92044;1968;city
zone_city_13119;1457;city
zone_city_69199;1713;city
zone_city_92046;1969;city
zone_city_59002;1458;city
zone_city_69202;1714;city
zone_city_92048;1970;city
zone_city_59005;1459;city
zone_city_69204;1715;city
zone_city_92049;1971;city
zone_city_59008;1460;city
zone_city_69205;1716;city
zone_city_92050;1972;city
zone_city_59009;1461;city
zone_city_69206;1717;city
zone_city_92051;1973;city
zone_city_59011;1462;city
zone_city_69207;1718;city
zone_city_92060;1974;city
zone_city_59012;1463;city
zone_city_69227;1719;city
zone_city_92062;1975;city
zone_city_59014;1464;city
zone_city_69228;1720;city
zone_city_92063;1976;city
zone_city_59015;1465;city
zone_city_69231;1721;city
zone_city_92064;1977;city
zone_city_59017;1466;city
zone_city_69238;1722;city
zone_city_92071;1978;city
zone_city_59024;1467;city
zone_city_69241;1723;city
zone_city_92072;1979;city
zone_city_59028;1468;city
zone_city_69243;1724;city
zone_city_92073;1980;city
zone_city_59032;1469;city
zone_city_69244;1725;city
zone_city_92075;1981;city
zone_city_59033;1470;city
zone_city_69248;1726;city
zone_city_92076;1982;city
zone_city_59034;1471;city
zone_city_69249;1727;city
zone_city_92077;1983;city
zone_city_59036;1472;city
zone_city_69250;1728;city
zone_city_92078;1984;city
zone_city_59037;1473;city
zone_city_69255;1729;city
zone_city_93001;1985;city
zone_city_59043;1474;city
zone_city_69256;1730;city
zone_city_93005;1986;city
zone_city_59044;1475;city
zone_city_69259;1731;city
zone_city_93006;1987;city
zone_city_59051;1476;city
zone_city_69260;1732;city
zone_city_93007;1988;city
zone_city_59052;1477;city
zone_city_69264;1733;city
zone_city_93008;1989;city
zone_city_59053;1478;city
zone_city_69266;1734;city
zone_city_93010;1990;city
zone_city_59067;1479;city
zone_city_69268;1735;city
zone_city_93013;1991;city
zone_city_59068;1480;city
zone_city_69270;1736;city
zone_city_93014;1992;city
zone_city_59079;1481;city
zone_city_69271;1737;city
zone_city_93015;1993;city
zone_city_59080;1482;city
zone_city_69272;1738;city
zone_city_93027;1994;city
zone_city_59090;1483;city
zone_city_69273;1739;city
zone_city_93029;1995;city
zone_city_59092;1484;city
zone_city_69275;1740;city
zone_city_93030;1996;city
zone_city_59094;1485;city
zone_city_69276;1741;city
zone_city_93031;1997;city
zone_city_59098;1486;city
zone_city_69277;1742;city
zone_city_93032;1998;city
zone_city_59104;1487;city
zone_city_69278;1743;city
zone_city_93033;1999;city
zone_city_59107;1488;city
zone_city_69279;1744;city
zone_city_93039;2000;city
zone_city_59112;1489;city
zone_city_69282;1745;city
zone_city_93045;2001;city
zone_city_59122;1490;city
zone_city_69283;1746;city
zone_city_93046;2002;city
zone_city_59131;1491;city
zone_city_69284;1747;city
zone_city_93047;2003;city
zone_city_59136;1492;city
zone_city_69285;1748;city
zone_city_93048;2004;city
zone_city_59139;1493;city
zone_city_69286;1749;city
zone_city_93049;2005;city
zone_city_59143;1494;city
zone_city_69287;1750;city
zone_city_93050;2006;city
zone_city_59146;1495;city
zone_city_69288;1751;city
zone_city_93051;2007;city
zone_city_59152;1496;city
zone_city_69289;1752;city
zone_city_93053;2008;city
zone_city_59153;1497;city
zone_city_69290;1753;city
zone_city_93055;2009;city
zone_city_59155;1498;city
zone_city_69291;1754;city
zone_city_93057;2010;city
zone_city_59156;1499;city
zone_city_69292;1755;city
zone_city_93059;2011;city
zone_city_59158;1500;city
zone_city_69294;1756;city
zone_city_93061;2012;city
zone_city_59160;1501;city
zone_city_69296;1757;city
zone_city_93062;2013;city
zone_city_59163;1502;city
zone_city_69297;1758;city
zone_city_93063;2014;city
zone_city_59165;1503;city
zone_city_69298;1759;city
zone_city_93064;2015;city
zone_city_59168;1504;city
zone_city_69299;1760;city
zone_city_93066;2016;city
zone_city_59170;1505;city
zone_city_75056;1761;city
zone_city_93070;2017;city
zone_city_59172;1506;city
zone_city_76005;1762;city
zone_city_93071;2018;city
zone_city_59178;1507;city
zone_city_76026;1763;city
zone_city_93072;2019;city
zone_city_59179;1508;city
zone_city_76034;1764;city
zone_city_93073;2020;city
zone_city_59183;1509;city
zone_city_76057;1765;city
zone_city_93074;2021;city
zone_city_59193;1510;city
zone_city_76095;1766;city
zone_city_93077;2022;city
zone_city_59202;1511;city
zone_city_76101;1767;city
zone_city_93078;2023;city
zone_city_59205;1512;city
zone_city_76103;1768;city
zone_city_93079;2024;city
zone_city_59206;1513;city
zone_city_76108;1769;city
zone_city_94001;2025;city
zone_city_59207;1514;city
zone_city_76114;1770;city
zone_city_94002;2026;city
zone_city_59212;1515;city
zone_city_76116;1771;city
zone_city_94003;2027;city
zone_city_59220;1516;city
zone_city_76146;1772;city
zone_city_94004;2028;city
zone_city_59221;1517;city
zone_city_76157;1773;city
zone_city_94011;2029;city
zone_city_59225;1518;city
zone_city_76159;1774;city
zone_city_94015;2030;city
zone_city_59227;1519;city
zone_city_76164;1775;city
zone_city_94016;2031;city
