"code","name","postal_code","population","code_department","code_city_community","code_canton"
"01353",Sainte-Euphémie,"01600",1657,"01","200042497","0121"
"01354",Saint-Genis-Pouilly,"01630",11892,"01","240100750","0119"
"01355",Saint-Genis-sur-Menthon,"01380",472,"01","200070555","0123"
"01356",Saint-Georges-sur-Renon,"01400",219,"01","200069193","0108"
"01357",Saint-Germain-de-Joux,"01130",507,"01","240100891","0103"
"01358",Saint-Germain-les-Paroisses,"01300",434,"01","200040350","0104"
"01359",Saint-Germain-sur-Renon,"01240",235,"01","200069193","0108"
"01360",Saint-Jean-de-Gonville,"01630",1720,"01","240100750","0120"
"01361",Saint-Jean-de-Niost,"01800",1427,"01","240100883","0111"
"01362",Saint-Jean-de-Thurigneux,"01390",773,"01","200042497","0122"
"01363",Saint-Jean-le-Vieux,"01640",1699,"01","200029999","0116"
"01364",Saint-Jean-sur-Reyssouze,"01560",737,"01","200071751","0117"
"01365",Saint-Jean-sur-Veyle,"01290",1122,"01","200070555","0123"
"01366",Sainte-Julie,"01150",999,"01","240100883","0111"
"01367",Saint-Julien-sur-Reyssouze,"01560",698,"01","200071751","0117"
"01368",Saint-Julien-sur-Veyle,"01540",798,"01","200070555","0123"
"01369",Saint-Just,"01250",917,"01","200071751","0107"
"01370",Saint-Laurent-sur-Saône,"01750",1754,"01","200070308","0123"
"01371",Saint-Marcel,"01390",1303,"01","200069193","0122"
"01372",Saint-Martin-de-Bavel,"01510",438,"01","200040350","0104"
"01373",Saint-Martin-du-Frêne,"01430",1063,"01","200042935","0114"
"01374",Saint-Martin-du-Mont,"01160",1807,"01","200071751","0107"
"01375",Saint-Martin-le-Châtel,"01310",790,"01","200071751","0102"
"01376",Saint-Maurice-de-Beynost,"01700",3965,"01","240100800","0113"
"01378",Saint-Maurice-de-Gourdans,"01800",2537,"01","240100883","0111"
"01379",Saint-Maurice-de-Rémens,"01500",752,"01","240100883","0101"
"01380",Saint-Nizier-le-Bouchoux,"01560",683,"01","200071751","0117"
"01381",Saint-Nizier-le-Désert,"01320",914,"01","200069193","0107"
"01382",Sainte-Olive,"01330",284,"01","200069193","0122"
"01383",Saint-Paul-de-Varax,"01240",1502,"01","200069193","0108"
"01384",Saint-Rambert-en-Bugey,"01230",2310,"01","240100883","0101"
"01385",Saint-Rémy,"01310",999,"01","200071751","0106"
"01386",Saint-Sorlin-en-Bugey,"01150",1150,"01","240100883","0111"
"01387",Saint-Sulpice,"01340",247,"01","200071751","0102"
"01388",Saint-Trivier-de-Courtes,"01560",1095,"01","200071751","0117"
"01389",Saint-Trivier-sur-Moignans,"01990",1822,"01","200069193","0122"
"01390",Saint-Vulbas,"01150",1306,"01","240100883","0111"
"01391",Salavre,"01270",279,"01","200071751","0118"
"01392",Samognat,"01580",657,"01","200042935","0116"
"01393",Sandrans,"01400",526,"01","200069193","0108"
"01396",Sault-Brénaz,"01150",960,"01","240100883","0111"
"01397",Sauverny,"01220",1025,"01","240100750","0109"
"01398",Savigneux,"01480",1333,"01","200042497","0122"
"01399",Ségny,"01170",2016,"01","240100750","0120"
"01400",Seillonnaz,"01470",138,"01","240100883","0111"
"01401",Sergy,"01630",2045,"01","240100750","0120"
"01402",Sermoyer,"01190",678,"01","200071371","0117"
"01403",Serrières-de-Briord,"01470",1262,"01","240100883","0111"
"01404",Serrières-sur-Ain,"01450",131,"01","200029999","0116"
"01405",Servas,"01960",1241,"01","200071751","0107"
"01406",Servignat,"01560",175,"01","200071751","0117"
"01407",Seyssel,"01420",997,"01","200070852","0110"
"01408",Simandre-sur-Suran,"01250",677,"01","200071751","0118"
"01410",Sonthonnax-la-Montagne,"01580",318,"01","200042935","0116"
"01411",Souclin,"01150",268,"01","240100883","0111"
"01412",Sulignat,"01400",577,"01","200069193","0108"
"01415",Talissieu,"01510",448,"01","200040350","0110"
"01416",Tenay,"01230",1044,"01","240100883","0110"
"01418",Thil,"01120",1072,"01","240100800","0113"
"01419",Thoiry,"01710",6094,"01","240100750","0120"
"01420",Thoissey,"01140",1725,"01","200070118","0108"
"01421",Torcieu,"01230",725,"01","240100883","0101"
"01422",Tossiat,"01250",1366,"01","200071751","0107"
"01423",Toussieux,"01600",1002,"01","200042497","0121"
"01424",Tramoyes,"01390",1664,"01","240100800","0113"
"01425",La Tranclière,"01160",289,"01","200071751","0107"
"01426",Val-Revermont,"01370",2581,"01","200071751","0118"
"01427",Trévoux,"01600",6849,"01","200042497","0121"
"01428",Valeins,"01140",131,"01","200069193","0108"
"01429",Vandeins,"01660",685,"01","200071751","0102"
"01430",Varambon,"01160",531,"01","200029999","0116"
"01431",Vaux-en-Bugey,"01150",1228,"01","240100883","0101"
"01432",Verjon,"01270",278,"01","200071751","0118"
"01433",Vernoux,"01560",324,"01","200071751","0117"
"01434",Versailleux,"01330",421,"01","200069193","0107"
"01435",Versonnex,"01210",2186,"01","240100750","0109"
"01436",Vesancy,"01170",490,"01","240100750","0109"
"01437",Vescours,"01560",250,"01","200071751","0117"
"01439",Vésines,"01570",99,"01","200071371","0117"
"01441",Vieu-d'Izenave,"01430",699,"01","200042935","0110"
"01443",Villars-les-Dombes,"01330",4628,"01","200069193","0122"
"01444",Villebois,"01150",1160,"01","240100883","0111"
"01445",Villemotier,"01270",677,"01","200071751","0118"
"01446",Villeneuve,"01480",1481,"01","200042497","0122"
"01447",Villereversure,"01250",1275,"01","200071751","0118"
"01448",Villes,"01200",365,"01","240100891","0103"
"01449",Villette-sur-Ain,"01320",751,"01","200069193","0107"
"01450",Villieu-Loyes-Mollon,"01800",3586,"01","240100883","0111"
"01451",Viriat,"01440",6350,"01","200071751","0105"
"01452",Virieu-le-Grand,"01510",1056,"01","200040350","0104"
"01453",Arvière-en-Valromey,"01260,01510",716,"01","200040350","0110"
"01454",Virignin,"01300",1089,"01","200040350","0104"
"01456",Vongnes,"01350",70,"01","200040350","0104"
"01457",Vonnas,"01540",2929,"01","200070555","0123"
"03001",Abrest,"03200",2923,"03","200071363","0318"
"03002",Agonges,"03210",312,"03","200071496","0316"
"03003",Ainay-le-Château,"03360",1006,"03","240300558","0302"
"03004",Andelaroche,"03120",258,"03","240300491","0308"
"03005",Archignat,"03380",335,"03","240300657","0307"
"03006",Arfeuilles,"03120",660,"03","200071363","0308"
"03007",Arpheuilles-Saint-Priest,"03420",355,"03","200071082","0311"
"03008",Arronnes,"03250",377,"03","200071363","0308"
"03009",Aubigny,"03460",139,"03","200071140","0313"
"03010",Audes,"03190",437,"03","240300566","0307"
